step,loss_total,loss_pde,loss_bc,loss_ic,rel_l2
0,1.004464e+02,9.969844e+01,7.479191e-03,0.000000e+00,8.679503e-01
200,1.840691e+00,8.779393e-01,9.627513e-03,0.000000e+00,9.674879e-02
400,3.100534e-01,1.530673e-01,1.569860e-03,0.000000e+00,4.024634e-02
600,8.876238e-02,5.914488e-02,2.961750e-04,0.000000e+00,1.859281e-02
800,3.916342e-02,3.191436e-02,7.249061e-05,0.000000e+00,9.628422e-03
1000,2.422651e-02,2.047158e-02,3.754928e-05,0.000000e+00,6.973976e-03
1200,1.526178e-02,1.311395e-02,2.147833e-05,0.000000e+00,5.225022e-03
1400,9.985968e-03,8.591572e-03,1.394396e-05,0.000000e+00,4.134019e-03
1600,6.516343e-03,5.557376e-03,9.589670e-06,0.000000e+00,3.288380e-03
1800,4.754598e-03,4.011556e-03,7.430422e-06,0.000000e+00,2.771831e-03
2000,3.573255e-03,2.965451e-03,6.078041e-06,0.000000e+00,2.501829e-03
2200,2.834100e-03,2.315171e-03,5.189289e-06,0.000000e+00,2.285877e-03
2400,2.407087e-03,1.946729e-03,4.603577e-06,0.000000e+00,2.113591e-03
2600,2.480308e-03,1.811317e-03,6.689912e-06,0.000000e+00,3.720388e-03
2800,1.913204e-03,1.535041e-03,3.781633e-06,0.000000e+00,1.907442e-03
3000,1.690412e-02,3.849877e-03,1.305424e-04,0.000000e+00,3.036988e-02
